ID,상호명,카테고리,업종,주소,지역권,메인메뉴,가격_원,주차유형,혼밥,가족식사,단체수용
22,배두둑감자탕,국물 요리,감자탕,전북특별자치도 전주시 완산구 중화산동2가 656-5,중화산동권,뼈다귀전골 소,25000,주차 가능,비추천,추천,추천
23,해이루 전북대본점,국물 요리,감자탕,전북특별자치도 전주시 덕진구 덕진동1가 1277-14 해이루,전북대·덕진공원권,감자탕,38000,없음,비추천,추천,가능
24,우정식당,국물 요리,국밥,전북특별자치도 전주시 완산구 전동3가 2-118 남부시장,한옥마을·남부시장권,콩나물 국밥,10000,남부시장 천변주차장,추천,가능,제한적
25,전주왱이콩나물국밥전문점,국물 요리,국밥,전북특별자치도 전주시 완산구 경원동2가 12-1,한옥마을·남부시장권,콩나물 국밥,9000,건물 뒤 전용주차장,추천,추천,가능
26,현대옥 전주본점,국물 요리,국밥,전북특별자치도 전주시 완산구 중화산동2가 757-3,중화산동권,콩나물 국밥,9000,대형 전용주차장,추천,추천,추천
27,중화산동 목로국밥,국물 요리,국밥,전북특별자치도 전주시 완산구 중화산동2가 574-11 목로국밥,중화산동권,"한우 시래기 국밥, 황태 국밥",16000,없음,추천,제한적,비추천
28,아중국수,국물 요리,국수,전북특별자치도 전주시 덕진구 우아동1가 1107-10,전주역·아중리권,"잔치국수, 비빔국수",9000,없음,추천,가능,제한적
29,여만국수전문점,국물 요리,국수,전북특별자치도 전주시 덕진구 덕진동1가 1405-35 1층,전북대·덕진공원권,"잔치국수, 비빔국수",7000,전용 없음·전북대 공영/유료,추천,가능,제한적
30,백운면,국물 요리,국수,전북특별자치도 전주시 덕진구 금암동 757-9,전북대·금암동권,"잔치국수, 비빔국수, 냉밀면",9000,주변 주차 가능 후기,추천,가능,제한적
31,이연국수,국물 요리,국수,전북특별자치도 전주시 덕진구 인후동2가 1529-19,전주역·아중리권,"잔치국수, 비빔국수",5000,전용주차 5~10대 후기,추천,추천,가능
32,무진장 순두부,국물 요리,두부요리,전북특별자치도 전주시 덕진구 금암동 1587-7 1층무진장순두부,전북대·금암동권,해물얼큰순두부,10000,매장 앞 약 4대+지하주차,추천,추천,가능
33,연다라순대,국물 요리,"순대,순댓국",전북특별자치도 전주시 덕진구 금암동 707-13,전북대·금암동권,순대국밥,9000,없음,추천,가능,제한적
34,금암피순대,국물 요리,"순대,순댓국",전북특별자치도 전주시 덕진구 금암동 729-3,전북대·금암동권,순대국밥,10000,없음,추천,가능,제한적
35,덕천식당,국물 요리,"순대,순댓국",전북특별자치도 전주시 덕진구 금암동 709-9,전북대·금암동권,순대국밥,8000,매장 주차장 4~5대,추천,가능,제한적
36,호성순대 본점,국물 요리,"순대,순댓국",전북특별자치도 전주시 덕진구 호성동1가 796-1,호성동권,순대국밥,9000,없음,추천,가능,가능
37,베테랑 칼국수,국물 요리,종합분식,전북특별자치도 전주시 완산구 교동 84-10,한옥마을·남부시장권,칼국수,8000,전용 없음·한옥마을 공영주차장,추천,추천,가능
38,금암동부대찌개 본점,국물 요리,"찌개,전골",전북특별자치도 전주시 덕진구 금암동 755-1,전북대·금암동권,부대찌개,14000,인근 공영·골목,가능,추천,가능
39,두거리우신탕 본점,국물 요리,"찌개,전골",전북특별자치도 전주시 덕진구 송천동2가 305-5,송천동·에코시티권,우신탕,12000,전용주차장,추천,추천,추천
40,금암면옥 본점,국물 요리,"칼국수,만두",전북특별자치도 전주시 덕진구 금암동 471-10,전북대·금암동권,칼국수,9000,없음,추천,가능,제한적
41,손가네바지락손칼국수,국물 요리,"칼국수,만두",전북특별자치도 전주시 덕진구 송천동1가 485-6,송천동·에코시티권,바지락 칼국수,9000,없음,추천,추천,가능
42,해브어굿테이블,국물 요리,한식,전북특별자치도 전주시 덕진구 덕진동1가 1264-11 2층,전북대·덕진공원권,"대창전골, 고기전골",14000,전용 없음·골목,비추천,가능,비추천
43,금암동태마을,국물 요리,한식,전북특별자치도 전주시 덕진구 금암동 761-2 1층 동태마을,전북대·금암동권,동태탕,14000,없음,비추천,추천,가능
44,솔뫼마을 전주본점,국물 요리,칼국수,전북특별자치도 전주시 덕진구 금암동 1587-102,전북대·금암동권,칼국수,16000,없음,비추천,추천,가능
45,양평해장국 본점,국물 요리,해장국,전북특별자치도 전주시 덕진구 진북동 991-2,진북동권,"양평 해장국, 국밥",10000,없음,추천,가능,제한적
46,오선모 옛날김밥,분식,김밥,전북특별자치도 전주시 완산구 삼천동1가 599-5,삼천동권,당근김밥,4000,전용 없음·인근 공영주차장,추천,가능,비추천
47,파오파오 직영점,분식,종합분식,전북특별자치도 전주시 완산구 효자동1가 388,효자동권,만두,6000,없음,추천,가능,비추천
48,정원 김밥,분식,종합분식,전북특별자치도 전주시 덕진구 금암동 1312-50,전북대·금암동권,김밥,5000,없음,추천,가능,제한적
49,곰곰김밥,분식,종합분식,전북특별자치도 전주시 덕진구 금암동 105-395 1층 곰곰김밥,전북대·금암동권,김밥,4000,전용 없음,추천,가능,비추천
50,이너프샐러드 전북대 본점,양식,"다이어트,샐러드",전북특별자치도 전주시 덕진구 덕진동1가 1314-168,전북대·덕진공원권,샐러드,12000,전용 없음·노상,추천,가능,비추천
51,동쿡바게트바,양식,샌드위치,전북특별자치도 전주시 완산구 동완산동 400-2 1층,동완산동,바게트 샌드위치,9000,없음,추천,제한적,비추천
52,어반핑거,양식,샌드위치,전북특별자치도 전주시 덕진구 덕진동1가 664-1 102호,전북대·덕진공원권,샌드위치,10000,없음,추천,가능,제한적
53,에이치 샌드위치,양식,샌드위치,전북특별자치도 전주시 덕진구 송천동1가 826-10,송천동·에코시티권,잠봉뵈르 샌드위치,9000,전용 없음·골목,추천,추천,제한적
54,가마,양식,양식,전북특별자치도 전주시 완산구 고사동 172-1 2층 가마,객사·객리단길권,"화덕피자, 파스타",18000,없음,추천,가능,제한적
55,콘테,양식,양식,전북특별자치도 전주시 덕진구 만성동 1354-9 1층,만성동·혁신도시권,파스타,18000,없음,가능,가능,제한적
56,다이닝스푼,양식,이탈리아음식,전북특별자치도 전주시 완산구 고사동 238 1층,객사·객리단길권,파스타,18000,없음,추천,가능,제한적
57,50end pizza,양식,피자,전북특별자치도 전주시 덕진구 덕진동1가 1262-2 50end 피자 (코원빌딩 건물 입구 오른쪽 검정문),전북대·덕진공원권,화덕피자,21000,없음,가능,가능,미확인
58,돈카츠흑심 본점,일식,돈가스,전북특별자치도 전주시 완산구 다가동1가 51-1 1층,객사·객리단길권,돈카츠,14000,없음,추천,가능,제한적
59,카츠모리조,일식,돈가스,전북특별자치도 전주시 완산구 중화산동2가 24-15 2층,중화산동권,돈카츠,12000,인근 공영·노상주차,추천,가능,제한적
60,카츠호,일식,돈가스,전북특별자치도 전주시 덕진구 금암동 1312-28 1층 104호,전북대·금암동권,돈카츠,14000,없음,추천,가능,제한적
61,료카츠,일식,돈가스,전북특별자치도 전주시 덕진구 금암동 720-32 1층 료카츠,전북대·금암동권,돈카츠,12000,매장 앞 협소,추천,가능,비추천
62,형제면소,일식,아시아음식,"전북특별자치도 전주시 완산구 효자동3가 1644-7 1층, 형제면소",효자동·신시가지권,우동,12000,건물 지하주차장,추천,가능,제한적
63,세이토,일식,"우동,소바",전북특별자치도 전주시 완산구 효자동3가 1633-4 1층 세이토,효자동·신시가지권,우동,13000,전용주차장,추천,가능,제한적
64,금암소바,일식,"우동,소바",전북특별자치도 전주시 덕진구 금암동 729-6 금암소바,전북대·금암동권,소바,7000,매장 앞 약 4대,추천,추천,제한적
65,와룡소바,일식,"우동,소바",전북특별자치도 전주시 덕진구 송천동2가 556-10,송천동·에코시티권,소바,9000,없음,추천,가능,제한적
66,도파멘,일식,일본식라면,전북특별자치도 전주시 완산구 다가동1가 8 1층,객사·객리단길권,라멘,12000,인근 시청·공영주차장,추천,가능,비추천
